,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
f2bc522a-6adf-4764-9b72-9ffdf789659c,,,,,,,,,,,,,
cab6c833-4e6b-4528-8d97-a8dc68224bdb,,,,,,,,,,,,,
dd2b1c78-5664-4d12-badd-f4eb567c8491,,,,,,,,,,,,,
97f1ce52-ab7c-496d-8070-1d21c7d82bed,,,,,,,,,,,,,
bc51fbcb-ce9f-4644-bb58-ea5a887a11f6,,,,,,,,,,,,,
8dc098b7-afcc-402d-89fe-51ee0840110c,,,,,,,,,,,,,
3a76d56e-7708-46df-8d02-e7eab5ccc434,,,,,,,,,,,,,
adc7e8ad-47b4-4439-8972-fb584e66a60e,,,,,,,,,,,,,
8a5722ba-3f1f-43a5-b1cf-ae3bc5e3a8f6,,,,,,,,,,,,,
e9594280-234a-4ac0-9938-e92215b11631,,,,,,,,,,,,,
dffd8fa9-ca6c-4dce-a4ea-db5822d7931d,,,,,,,,,,,,,
c1a59a90-47e2-4a6f-9bb8-2d4b95e2155d,,,,,,,,,,,,,
2cbc7499-dc61-4dca-9206-6f8d8da2e12b,,,,,,,,,,,,,
40e29b2b-1820-488b-8ec7-0a8e86be02f4,,,,,,,,,,,,,
b62bbbc8-92d3-4288-9871-deefa585ed64,,,,,,,,,,,,,
e9d69de5-e3a9-4b7c-8539-8d753a7bb45a,,,,,,,,,,,,,
a3044be0-86ea-4c97-af62-1fa0c829fbcd,,,,,,,,,,,,,
0dd76da8-2058-46ca-becd-fe8badab8797,,,,,,,,,,,,,
973fd6df-19f4-4387-b96e-1925b64b67d9,,,,,,,,,,,,,
c5991c48-ec68-45b5-b601-5967b28700d9,,,,,,,,,,,,,
413d6ed6-2050-4694-b40e-b9833fe34600,,,,,,,,,,,,,
fe38c5ec-1f1a-4b7c-a8cd-c1dc5d4523c4,,,,,,,,,,,,,
bcb19246-af39-4476-9167-d4c7161b4519,,,,,,,,,,,,,
3e37f8cb-cade-415a-ac27-8a9a24407b85,,,,,,,,,,,,,
091d9e85-4377-41a0-8cc2-855cc925fbf7,,,,,,,,,,,,,
445b8006-ea1b-44a4-93fe-8cbbe5e4b8f4,,,,,,,,,,,,,
f1de386a-0515-4809-b5b4-559a979e1283,,,,,,,,,,,,,
a03dea80-cce2-40d5-b995-a25c18d0ec17,,,,,,,,,,,,,
6a8bd7d4-1d2d-4c17-91a0-25dbe7035720,,,,,,,,,,,,,
9a28c993-a44f-49ad-b5ab-cfada2c8313f,,,,,,,,,,,,,
44ce6b7d-34b1-443a-a98f-e39076c21d7e,,,,,,,,,,,,,
721d4bb4-9ae3-4110-9564-b0ece7870db0,,,,,,,,,,,,,
b4911921-fb98-4dcc-80f7-454585ca38cb,,,,,,,,,,,,,
eb9d463b-adf0-403e-98b5-cbadd240eb6c,,,,,,,,,,,,,
533c0fa3-7ef3-4266-b0da-6b3bc1315498,,,,,,,,,,,,,
2ddf5649-2898-49af-ba63-62a9aa45a25d,,,,,,,,,,,,,
10c4a168-c59d-4f99-a348-993b2059c3f0,,,,,,,,,,,,,
42f4fac1-eeac-4b99-a4e7-d110004c4815,,,,,,,,,,,,,
0762b686-5aa5-4653-b8e0-deeaef191862,,,,,,,,,,,,,
62e191ee-2b9e-432d-8141-23dd23ad078a,,,,,,,,,,,,,
7647c2f2-a8ae-4d7c-b958-fa244f0adaa5,,,,,,,,,,,,,
2ffd77f8-216f-4491-ab73-6585daf10989,,,,,,,,,,,,,
361bd4c5-12bf-4752-a178-9c24d536f316,,,,,,,,,,,,,
62ddae4e-fb35-4d60-bd0d-c7fa87e0742c,,,,,,,,,,,,,
d6e04a7a-3c4f-470a-aab5-f8fd2aa982fc,,,,,,,,,,,,,
d0763a5f-9054-4a1f-81ff-0e04079dc70a,,,,,,,,,,,,,
e3ff686a-0f10-44d8-94e4-0b6b8c9c02d9,,,,,,,,,,,,,
f27e864d-43a7-49c5-b584-b2b3ee9aec63,,,,,,,,,,,,,
e2792354-a3ba-48dd-9d46-f13cd7f7215d,,,,,,,,,,,,,
df67e3b6-bdaa-4f6a-a13b-e9012f88a4c1,,,,,,,,,,,,,
91f53d5e-b004-4a59-83b0-0ffc18b37f55,,,,,,,,,,,,,
0c69de20-30d2-4e30-a012-c76aa70f6999,,,,,,,,,,,,,
f08fed72-4929-4298-967f-32047cd8b910,,,,,,,,,,,,,
8560921a-d6ef-492e-91e3-d243529cccea,,,,,,,,,,,,,
e04300b3-84a4-434d-9924-a3841bc35fb9,,,,,,,,,,,,,
64cb3657-706d-4657-8b4c-cd492b9c0638,,,,,,,,,,,,,
cef5e3ac-946c-46ae-a5a7-271a7219f83a,,,,,,,,,,,,,
3695a39e-2e98-49c0-9a5d-6bbadcc4d7e2,,,,,,,,,,,,,
ba9aa028-4ff0-4908-95db-5343d3bd0ec0,,,,,,,,,,,,,
61e6bb68-f70a-4132-a6a5-95717c0a607d,,,,,,,,,,,,,
7a60b72e-8a36-4891-82aa-a407946788c7,,,,,,,,,,,,,
1c7b5c80-c83d-4026-9364-c7d91e36fbc0,,,,,,,,,,,,,
049c5ee6-413f-454d-97a3-5d9f856d16d9,,,,,,,,,,,,,
0b1b0b57-5f13-4615-a22b-cbff747ea248,,,,,,,,,,,,,
512360af-959a-4ece-b496-bb618d8da288,,,,,,,,,,,,,
9e2bf324-0dc0-4d27-86e6-1d352647e154,,,,,,,,,,,,,
0490b997-d6a4-44af-be29-58ebe2e66820,,,,,,,,,,,,,
7850c6be-a469-452a-aeb6-df97f92318f9,,,,,,,,,,,,,
32f53d81-66ad-4888-b329-482639bd16f9,,,,,,,,,,,,,
bc773111-45c1-493f-9b75-4a0edae9e9c4,,,,,,,,,,,,,
ec6f314a-8156-4ffd-91b0-cea3331773ed,,,,,,,,,,,,,
61a7c3df-6881-4929-bbfa-b6c9dfdf99c6,,,,,,,,,,,,,
a188f8bd-ee3f-4240-86bc-30d068dd9657,,,,,,,,,,,,,
6d528048-ce36-4e00-af83-db5bc753342a,,,,,,,,,,,,,
1657b81f-ddc9-4ba4-ac9a-71f69d1872d5,,,,,,,,,,,,,
45a39ac5-8a32-479a-9d5e-195b7acbf0d1,,,,,,,,,,,,,
9cab2112-cec0-4a74-afec-54e75984586a,,,,,,,,,,,,,
5f5b093d-ce28-491c-9d6f-66c72a67b55f,,,,,,,,,,,,,
a22a58e5-0126-42de-b252-b514bed50387,,,,,,,,,,,,,
