,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
6ac20189-c65d-4799-a162-272848c38b33,ground_ball,medium,-4.0,99.6,185.77,9,21.0,ground_ball,99.6,21.0,115.2,-4.0,
e3dd5500-3ab9-4efe-a38e-9e5007bdc954,ground_ball,medium,-11.0,87.4,149.28,4,10.0,ground_ball,87.4,10.0,156.75,-11.0,
ee5c6e8b-d42e-485d-874a-a59fb8895da4,ground_ball,medium,-13.0,99.6,84.42,5,14.0,ground_ball,99.6,14.0,107.09,-13.0,
34b56e31-8ce9-4332-bc3b-55ba10163bb3,ground_ball,medium,-12.0,88.5,112.29,6,10.0,ground_ball,88.5,10.0,153.71,-12.0,
270e23ec-ae0f-43ad-aad1-10fb51be3cad,ground_ball,medium,-10.0,66.1,140.16,4,13.0,ground_ball,66.1,13.0,159.66,-10.0,
13ad1ef7-b87c-4610-bc0a-8e36a0c2a7d2,ground_ball,medium,-21.0,81.5,155.87,3,8.0,ground_ball,81.5,8.0,165.87,-21.0,
d132f044-d9f9-435c-a3c2-59921638675a,popup,medium,72.0,83.8,123.95,6,104.0,popup,83.8,104.0,165.87,72.0,
6a8d817b-4e36-43aa-8ad3-4398b4d0966c,line_drive,hard,8.0,101.7,175.6,9,194.0,line_drive,101.7,194.0,103.47,8.0,
7d90e29c-1014-452c-85d7-99cebb78ee13,bunt_grounder,medium,11.0,41.1,141.14,4,54.0,bunt_grounder,41.1,54.0,167.72,11.0,
fd3574be-a64c-4045-9522-e2c53f14e4c8,ground_ball,medium,-54.0,80.9,102.66,5,3.0,ground_ball,80.9,3.0,167.39,-54.0,
8c047d66-ff88-463e-b456-fa0d14076842,popup,medium,60.0,82.0,117.87,6,185.0,popup,82.0,185.0,135.47,60.0,
f4d1dd9d-f30b-4b67-8092-ff9daaba1165,ground_ball,medium,-2.0,84.3,139.62,4,35.0,ground_ball,84.3,35.0,151.24,-2.0,
9621aa89-c9f9-420f-88bf-e8fd5ea69ed1,fly_ball,medium,28.0,93.1,123.39,8,368.0,fly_ball,93.1,368.0,50.74,28.0,
22122267-7e78-40e0-b9f3-8ec3537ffd10,ground_ball,medium,-3.0,91.8,136.11,8,28.0,ground_ball,91.8,28.0,88.34,-3.0,
39177997-35e8-43c6-a34d-3a0fc8bc3e13,ground_ball,medium,-13.0,81.8,105.7,6,8.0,ground_ball,81.8,8.0,156.75,-13.0,
c28c04f4-2d0a-462c-8b6d-00a768035fa9,line_drive,medium,21.0,82.8,68.39,7,259.0,line_drive,82.8,259.0,98.37,21.0,
3d547895-24d4-488d-8efc-e2bbc2e6bbc7,line_drive,medium,13.0,89.9,84.89,7,208.0,line_drive,89.9,208.0,106.46,13.0,
167efe8b-7ac9-40b1-83a8-ce683de6597a,fly_ball,medium,37.0,101.1,30.08,7,381.0,fly_ball,101.1,381.0,77.36,37.0,
9e1b4d68-9bbe-4abd-b59c-e524e730b9a9,fly_ball,medium,33.0,90.3,160.37,9,351.0,fly_ball,90.3,351.0,62.05,33.0,
3c48f40c-0e25-4d2d-b6f4-1db9726fa402,ground_ball,soft,-12.0,51.2,122.44,1,9.0,ground_ball,51.2,9.0,171.85,-12.0,
1ab4d3f4-8cfe-4eec-863d-87bb0abaaaee,ground_ball,medium,-9.0,94.4,118.88,6,12.0,ground_ball,94.4,12.0,151.68,-9.0,
e1671cbf-1900-4433-a9ea-5c48d95ba929,line_drive,medium,10.0,97.9,96.58,5,167.0,line_drive,97.9,167.0,168.4,10.0,
96fbf231-966e-473b-8269-3af19891e60e,,,,,,,,,,,,,
f0d0faf8-3ef3-4f66-badb-523a3e7bd2ae,,,,,,,,,,,,,
7c8104dc-10f5-4885-b9b8-6a45bf8459fd,,,,,,,,,,,,,
1d373c77-8b97-4b90-9fbf-2c1c3df9361f,,,,,,,,,,,,,
66c7e849-8a64-4021-90a7-668142b491ce,,,,,,,,,,,,,
8c999865-d004-4250-9124-c0bced2fd60e,,,,,,,,,,,,,
0c40988e-fe6b-4d25-9c50-0259fae99a3b,,,,,,,,,,,,,
174ceecf-3b28-4209-b5f6-422046b83d71,,,,,,,,,,,,,
8aca4270-198e-439f-b7eb-f17011faa35f,,,,,,,,,,,,,
2e164366-06d9-44ff-9517-90be0059f8a0,,,,,,,,,,,,,
7d8b0555-ee71-4dce-946a-e8112b9e7ee8,,,,,,,,,,,,,
